,0_fold,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold
0,"[29.191      66.683      80.5        31.2656098  26.9563848  42.27654152
 66.51       64.0076     38.2        56.21       26.83227912 67.0743
 40.80106288 57.01       37.07789248 31.79650632 42.75       33.65
 38.2        64.2442     34.04419808]","[36.20915272 75.8        64.38114208 39.4359004  60.71       56.21
 26.83227912 67.047      50.3303     28.19       42.1248568  35.47
 26.81       31.27939932 42.69022712 87.9        57.31       72.257
 40.0564288  51.2        35.834     ]","[ 41.149      108.5         35.9195728   35.1697      38.655
  29.1         90.91       101.51        40.0564288   57.583
  28.322       47.391       30.4         66.683       45.62050012
  95.4         31.958       66.8        128.61       104.5
  38.725     ]","[ 60.71        29.3006032   85.31        35.1697      52.41873348
  40.03574452  87.9         38.655       37.07789248  20.17883572
  46.0897      91.87        46.35134468 111.11        40.5
  44.          26.42548828  38.321       90.91        35.
  35.743     ]","[ 28.322       40.0564288   49.575      106.11        40.80106288
  37.28473528  68.321       35.47        38.49131828  56.21
  32.2998238   60.2         50.485       38.2         53.61
  67.138       17.00724612  32.65835132 108.5         21.365
  54.58      ]","[55.308      58.22       81.1        56.51       59.2756     35.834
 52.487      52.259      67.047      38.5003     30.829      28.645601
 54.4        53.61       61.21       42.69022712 56.4        56.21
 47.937      89.31       56.4       ]","[53.67       47.5        32.74       58.8297     56.51       91.2
 31.2656098  43.9        67.047      42.27654152 25.24648432 39.4359004
 38.49131828 72.257      22.184      25.69464372 56.4        37.28473528
 81.21       67.138      68.61      ]","[ 51.577      108.5         59.632       28.322       52.305
 104.5         44.57        38.2         59.2756      35.47
  35.743       46.845       46.07555428  57.583       65.864
  45.62050012  22.184       56.21        40.80106288  35.6782562
  33.7477234 ]","[ 41.149       45.31        21.365       37.07789248  31.83
  47.937       45.62050012  67.138       71.6         25.24648432
  20.17883572 111.11        28.645601    64.2442      44.
  32.74        47.51        57.583       26.42548828  38.321
  50.485     ]","[44.57       67.047      46.35134468 65.864      31.83       42.69022712
 40.80106288 50.3303     55.30763792 38.5003     31.2656098  81.1
 26.643      81.21       57.583      51.577      38.321      49.575
 54.4        49.302      71.14      ]"
1,"[34.26348507 64.45303836 72.07094836 31.3032765  29.27939694 33.47048744
 65.52133178 46.88573719 38.52614358 55.51341242 33.90595757 48.10633985
 33.80364986 45.74899156 40.86021584 35.85786061 36.43069601 31.56350908
 38.89253131 52.82505133 36.36367516]","[36.56402799 55.33020253 42.78589285 40.03069251 54.43402213 57.55814252
 33.76791717 65.13801224 47.9276831  27.9175424  35.17473062 34.9716601
 47.76522359 33.47366132 35.61003354 68.51873396 56.92110453 61.85881468
 37.39956979 63.12693741 56.26789165]","[ 55.96080463 115.81396632  34.55491824  35.9869491   43.30702575
  30.00816704  92.55295808  99.25149175  36.94971387  43.8957511
  53.78344942  55.4933583   55.79813487  63.52869918  37.09938307
  81.37679113  55.57816935  64.85670297 118.85913358  90.13965125
  54.1660847 ]","[ 53.33713474  28.88532277  83.89086011  36.68791188  39.9511521
  36.49615296  68.91280538  44.4852768   39.89657755  24.18946289
  41.16276496  72.67411071  38.41586363 111.70238188  63.42239098
  58.52813961  31.25613547  58.94482405  93.86371745  46.17140772
  41.69015674]","[ 51.80052129  37.81869276  55.76648784 101.641319    34.35954838
  38.86843842  66.672295    35.51445467  37.12494192  56.54279131
  33.8241125   64.05937256  52.84482702  39.4131535   48.50351029
  60.08663486  31.98438615  37.85951755 120.86763701  34.14521071
  57.45217706]","[58.78755125 78.84379154 64.05976103 45.73804091 51.13053589 56.13298685
 62.70205067 52.13829248 65.32436341 40.72251092 37.04224503 30.97425781
 46.53996569 47.43661036 52.2325637  34.32864837 64.19280955 55.44093829
 37.21006486 83.20822492 57.82628323]","[58.04991516 53.81977667 34.7689356  59.43317981 47.00179128 73.02647799
 31.55005774 54.92154297 63.87320279 33.67241042 25.58648552 40.59925755
 36.89972067 63.53230958 37.56844107 33.20396351 56.60337623 38.48857828
 87.74704569 60.19516759 62.07069562]","[ 54.45886474 118.89615055  58.85479346  51.25225984  49.92153178
  90.79720733  42.28690199  38.71083489  53.06478612  34.97853683
  41.0914577   44.02394635  37.14745733  43.62476449  57.15022274
  37.20248564  36.95284836  56.41234464  33.61793386  34.91065625
  32.6805463 ]","[ 53.73255626  46.2412423   32.37398731  40.39839701  29.06842279
  35.89962039  37.48290343  60.19596732  49.52007251  25.86936519
  23.72775819 111.61040842  30.89607956  58.32846167  59.34175917
  33.89741243  46.37324512  42.32444138  31.24044457  59.14292777
  53.37268013]","[42.47043416 62.79679633 37.90674584 56.4062541  28.85742116 35.02970466
 32.9775048  48.17745725 40.14361946 39.63019317 31.61847382 64.75537988
 33.77688047 88.46507274 42.70335216 53.62815277 58.46107997 54.27607335
 46.65649199 41.67285951 65.85731345]"
